year,allocated_crores,roads_km,habitations_connected,amount_released_crore,focus_area
2001,2500,8500,12000,2200,PMGSY launch December 25
2005,8000,45000,65000,7500,Phase 1 acceleration
2010,14000,180000,250000,13200,5 lakh population coverage
2015,18000,385000,520000,17100,PMGSY-II announced
2017,19000,465000,580000,18200,Through routes focus
2019,19000,555000,625000,18500,PMGSY-III launched
2020,15000,590000,645000,14200,COVID impact
2021,16000,620000,668000,15300,6.68 lakh habitations
2022,18000,645000,680000,17200,Road safety features
2023,19500,665000,692000,18800,Hill areas priority
2024,20000,680000,700000,19200,Quality monitoring
2025,21000,691000,705000,20100,Final phase integration
