year,allocated_crores,children_crore,districts,full_immunization_percent,focus_area
2015,380,0.61,201,62,Launch December 25
2016,450,1.52,297,65,Phase 2 expansion
2017,500,2.83,410,68,Intensified IMI
2018,550,3.52,523,71,Phase 3 launched
2019,600,4.12,652,76,Pregnant women added
2020,700,3.85,701,80,COVID vaccine infrastructure
2021,800,4.52,701,85,IMI 3.0 launched
2022,900,5.12,701,88,90% target nearing
2023,1000,5.82,701,90,90% FIC achieved
2024,1100,6.42,701,92,New vaccines added
2025,1200,7.02,701,93,Universal immunization nearing
