year,allocated_crores,spent_crores,connections_crore,refills_per_capita,coverage_percent,focus_area
2016,2000,1800,1.5,3.2,61,Launch from Ballia UP
2017,3500,3200,3.5,3.4,72,5 crore target announced
2018,12800,11500,5.9,3.5,85,Target revised to 8 crore
2019,7000,6500,8.0,3.6,97,Target achieved early
2020,9235,9670,8.5,3.01,99.8,COVID refill support
2021,1618,1500,9.0,3.5,99.8,Ujjwala 2.0 launch
2022,8010,8500,9.6,3.66,99.9,Migrant workers included
2023,9000,8500,10.0,3.71,99.9,75 lakh more connections
2024,9500,9000,10.35,3.8,100,100% LPG penetration
2025,10000,9500,10.5,4.0,100,Blue flame revolution complete
